Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
APS2	YAP17	Related to the sigma subunit of the mammalian plasma membrane clathrin-associated protein (AP-2) complex	clathrin associated protein complex small subunit	null mutant is viable; slight effect on chc1-ts cell growth	YJR058C	S0003819
APS3	YKS7	sigma3-like subunit of the yeast AP-3 complex which functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function		Null mutant is viable, rescues yck1,yck2 double mutant	YJL024C	S0003561
APT1		Adenine phosphoribosyltransferase	adenine phosphoribosyltransferase		YML022W	S0004484
APT2		similar to adenine phosphoribosyltransferase; appears to be a nonfunctional pseudogene			YDR441C	S0002849
AQR1		A(acids, azoles) Q(quinidine, quinine) Resistance	multidrug resistance transporter	Null mutant is viable, but exhibits increased susceptibility to low-chain organic acids (C2-C6), azoles, antimalarial quinoline-ring containing drugs, malachite green and crystal violet	YNL065W	S0005009
AQR2		A(acid, azole) Q(quinidine) Resistance	multidrug resistance transporter	Null: Null mutant is viable, but exhibits increased susceptibility to acetic acid, Ketoconazole, quinidine and crystal violet	YBR043C	S0000247
AQY1		Aquaporin	aquaporin	Null mutant is viable and exhibits improved viability when grown under hypo-osmolar or hyper-osmolar stress.	YPR192W	S0006396
AQY2		aquaporin water channel in yeast	MIP family member|aquaporin (putative)		YLL052C	S0003975
ARA1		D-arabinose dehydrogenase	D-arabinose dehydrogenase	Null mutant is viable but cannot produce D-arabinono-1,4-lactone, a precursor of D-erythroascorbic acid	YBR149W	S0000353
ARC1		associated with tRNA and amino acyl-tRNA synthetases; has affinity for quadruplex nucleic acids		Null mutant is viable, leads to slow growth and reduced MetRS activity; arc1- mutants are synthetic lethals and are complemented by the genes for methionyl-tRNA and glutamyl-tRNA synthetase.	YGL105W	S0003073
ARC15		Arp complex subunit		Null mutant exhibits severe growth defects. Cells with mutations in Arp2 and Arc15 are defective in mitochondrial movement.	YIL062C	S0001324
ARC18		Arp2/3 complex subunit			YLR370C	S0004362
ARC19		Arp complex subunit		Null mutant is viable, but exhibits severe growth defects	YKL013C	S0001496
ARC35	END9	Arp complex subunit		Null mutant exhibits severe growth defects; synthetic lethal with vma2.	YNR035C	S0005318
ARC40		Arp2/3 complex subunit, 40 kilodalton		Null mutant is inviable	YBR234C	S0000438
ARD1		subunit of the major N alpha-acetyltransferase; complexes with Nat1p	N alpha-acetyltransferase major subunit|complexes with Nat1p	inability to respond to alpha-factor, enter stationary phase or sporulate, required for full repression of HML and entry into Go	YHR013C	S0001055
ARE1	SAT2	Acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)	acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)	Null mutant is viable, slightly reduces in vivo and in vitro ergosterol esterification. Deletion of both ARE1 and ARE2 completely eliminates of in vivo and in vitro ergosterol esterification	YCR048W	S0000644
ARE2	SAT1	Acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)	acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)	Null mutant is viable; greatly reduces in vivo and in vitro ergosterol esterification (to 15 - 35 % of wild-type). Deletion of both ARE1 and ARE2 completely eliminates in vivo and in vitro ergosterol esterification	YNR019W	S0005302
ARF1		implicated in signal transduction and intracellular protein transport to or within the Golgi apparatus	ADP-ribosylation factor	Null mutant is viable and shows slow growth, cold sensitivity and sensitivity to normally sublethal concentrations of fluoride ion in the medium.	YDL192W	S0002351
ARF2		ADP-ribosylation factor 2	ADP-ribosylation factor 2	Null mutant is viable	YDL137W	S0002296
ARF3	ARL2	GTP-binding ADP-ribosylation factor	GTP-binding ADP-ribosylation factor	null mutant is viable	YOR094W	S0005620
ARG1	ARG10	arginosuccinate synthetase	arginosuccinate synthetase	Arginine requiring	YOL058W	S0005419
ARG2	HRB574	First step in ornithine biosynthesis pathway	acetylglutamate synthase		YJL071W	S0003607
ARG3		Sixth step in arginine biosynthesis	ornithine carbamoyltransferase	Arginine requiring	YJL088W	S0003624
ARG4		argininosuccinate lyase	argininosuccinate lyase	Arginine requiring	YHR018C	S0001060
ARG5,6		N-acetyl-gamma-glutamyl-phosphate reductase and acetylglutamate kinase	N-acetyl-gamma-glutamyl-phosphate reductase and acetylglutamate kinase	Arginine requiring	YER069W	S0000871
ARG8		Acetylornithine aminotransferase	acetylornithine aminotransferase	Arginine requiring	YOL140W	S0005500
ARG80	ARGR1	Regulator of arginine-responsive genes with ARG81 and ARG82	transcription factor	Arginine requiring	YMR042W	S0004645
ARG81	ARGR2	Regulator of arginine-responsive genes with ARG80 and ARG82 	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type	Null mutant is viable	YML099C	S0004565
ARG82	ARGR3|IPK2	Regulator of arginine-responsive genes with ARG80 and ARG81	dual specificity inositol 1,4,5-trisphosphate 6-kinase/inositol 1,4,5,6-tetrakisphosphate 3-kinase (IP3 6-/IP4 3-kinase)	Null mutant is viable but requires arginine at 23C; growth defect at 30C; inviable at 37C; null is defective in sporulation, mating, amino acid metabolism (fails to grow on medium in which arginine or ornithine is the sole nitrogen source); null mutants accumulate IP3, I(4,5)P2 and have drastically reduced levels of IP4, IP5 and IP6.	YDR173C	S0002580
ARG84				Arginine requiring		L0000115
ARH1		adrenodoxin oxidoreductase homolog	adrenodoxin oxidoreductase homolog	Null mutant is inviable	YDR376W	S0002784
ARK1		actin regulating kinase	serine/threonine kinase (putative)	Null mutant is viable and shows slight delocalisation of actin cytoskeleton	YNL020C	S0004965
ARL1		Encodes a regulator of membrane traffic. Hydrolyzes GTP; myristylated; in soluble fraction. Part of the carboxypeptidase Y pathway.	ADP-ribosylation factor-like protein 1	Null mutant is viable	YBR164C	S0000368
ARL3		Similar to ADP-ribosylation factor. Part of the carboxypeptidase Y pathway.		Null mutant is viable, displays cold-sensitive growth	YPL051W	S0005972
ARN1		Transporter that specifically recognizes siderophore-iron chelates and is expressed under conditions of iron deprivation.			YHL040C	S0001032
ARN2	TAF1	Siderophore transporter for triacetylfusarinine C	triacetylfusarinine C transporter	YHL047c disrupted cells are unable to take up and utilize iron from triacetylfusarinine C und fusigen	YHL047C	S0001039
ARO1		pentafunctional arom polypeptide (contains: 3-dehydroquinate synthase, 3-dehydroquinate dehydratase (3-dehydroquinase), shikimate 5-dehydrogenase, shikimate kinase, and epsp synthase)	3-dehydroquinate dehydratase (3-dehydroquinase)|3-dehydroquinate synthase|epsp synthase|pentafunctional arom polypeptide|shikimate 5-dehydrogenase|shikimate kinase	aromatic amino acid requiring; lack of premeiotic DNA synthesis; blocked sporulation in homozygous mutant	YDR127W	S0002534
ARO10					YDR380W	S0002788
ARO2		Chorismate synthase	chorismate synthase	aromatic amino acid requiring; lack of premeiotic DNA synthesis; blocked sporulation in homozygous mutant	YGL148W	S0003116
ARO3		DAHP synthase; a.k.a. phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited; phospho-2-keto-3-deoxyheptonate aldolase; 2-dehydro-3-deoxyphosphoheptonate aldolase; 3-deoxy-D-arabine-heptulosonate-7-phosphate synthase	DAHP synthase; a.k.a. phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited; phospho-2-keto-3-deoxyheptonate aldolase; 2-dehydro-3-deoxyphosphoheptonate aldolase; 3-deoxy-D-arabine-heptulosonate-7-phosphate synthase	null mutant is viable	YDR035W	S0002442
ARO4		3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase isoenzyme	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase isoenzyme	null mutant is viable	YBR249C	S0000453
ARO7	HGS1|OSM2|TYR7	chorismate mutase	chorismate mutase	Aromatic amino acid requiring; Low osmotic pressure sensitive	YPR060C	S0006264
ARO8		aromatic amino acid aminotransferase	aromatic amino acid aminotransferase	Null mutant is viable	YGL202W	S0003170
ARO80					YDR421W	S0002829
ARO9		aromatic amino acid aminotransferase II	aromatic amino acid aminotransferase II	Null mutant is viable	YHR137W	S0001179
ARP1	ACT5	actin-related protein of the dynactin complex		Null mutant is viable, but both null mutations and overexpression lead to defects in spindle orientation and nuclear migration (during mitosis in arp1 mutants the nucleus fails to move into the neck).	YHR129C	S0001171
ARP10		actin-related protein			YDR106W	S0002513
ARP2	ACT2	Involved in endocytosis and membrane growth and polarity	actin related protein	cells with mutations in Arp2 and Arc15 are defective in mitochondrial movement.	YDL029W	S0002187
ARP3	ACT4	actin-related gene		Mutations in Arp3 lead to defects in actin-patch motility and a rearrangement of the cortical actin cytoskeleton.	YJR065C	S0003826
ARP4	ACT3	54.8 kDa actin-related protein	54.8 kDa protein|actin related protein	Null mutant is inviable	YJL081C	S0003617
ARP5		Actin-related protein. Part of the carboxypeptidase Y pathway.	actin related protein		YNL059C	S0005004
ARP6		Actin-related protein. Part of the carboxypeptidase Y pathway.			YLR085C	S0004075
ARP7	SWP61	involved in transcriptional regulation	actin related protein|chromatin remodeling Snf/Swi complex subunit	Null mutant is viable, exhibits typical swi/snf phenotypes, including growth defects on media containing galactose, glycerol, or sucrose as sole carbon sources. ARP7 is required for expression of an HO-lacZ fusion gene and for full transcriptional enhancement by the GAL4 activator	YPR034W	S0006238
ARP8		actin-related protein			YOR141C	S0005667
ARP9	SWP59	involved in transcriptional regulation	actin related protein|chromatin remodeling Snf/Swi complex subunit	Null mutant is viable, exhibits typical swi/snf phenotypes, including growth defects on media containing galactose, glycerol, or sucrose as sole carbon sources. ARP9 is required for expression of an HO-lacZ fusion gene and for full transcriptional enhancement by the GAL4 activator	YMR033W	S0004636
ARR1	ACR1|YAP8	Similar to transcriptional regulatory elements YAP1 and cad1		Null mutant is viable, confers arsenite and arsenate hypersensitivity	YPR199C	S0006403
ARR2	ACR2	Required for arsenate but not for arsenite resistance		Null mutant is viable but sensitive to arsenate (but not arsenite).	YPR200C	S0006404
ARR3	ACR3	Putative membrane protein involved in arsenite transport		Overexpression confers arsenite but not arsenate resistance	YPR201W	S0006405
ARR4		provides low levels of resistance to arsenicals		Null: YDL100c gene disruption results in sensitivity to As(III), As(V), Co(II) and Cu(II).	YDL100C	S0002258
ARS1						S0007454
ARS120		telomeric autonomously replicating sequence				L0000123
ARS2		Autonomously Replicating Sequence				L0000122
ARV1		<b>A</b>RE2 <b>R</b>equired for <b>V</b>iability 1. similar to Nup120p and C.elegans R05H5.5 protein.	Protein involved in sterol distribution	Subcellular membrane accumulation of free sterol; Mutations in yeast ARV1 are complemented by expression of human ARV1|Subcellular membrane accumulation of free sterol; arv1 mutations are complemented by human ARV1 and are synthetically lethal with are1 and are2 null mutations; null mutant is temperature sensitive, anaerobically inviable, polyene antibiotic sensitive, and inviable in the absence of sterol esterification|temperature sensitive, anaerobically inviable, polyene antibiotic sensitive, inviable in the absence of sterol esterification	YLR242C	S0004232
ARX1					YDR101C	S0002508
ASC1	CPC2	WD repeat protein (G-beta like protein) that interacts with the translational machinery	G-beta like protein	Null mutant is viable. Null mutation suppresses the absence of growth of a cyp1- strain in anaerobiosis and also causes delayed growth in aerobic or heme sufficient conditions; trp auxotrophs of the asc1 null allele are cold sensitive for growth; other mutants have increased cell size	YMR116C	S0004722
ASC2		CYP1 absence of growth supressor				L0004605
ASE1	YOR29-09	essential for anaphase spindle elongation	spindle midzone component	Null mutant is viable but temperature sensitive.	YOR058C	S0005584
ASF1		anti-silencing protein that causes depression of silent loci when overexpressed			YJL115W	S0003651
ASF2		anti-silencing protein that causes depression of silent loci when overexpressed			YDL197C	S0002356
ASG7		an a-specific gene that is induced to a higher expression level by alpha factor		Null mutant is viable	YJL170C	S0003706
ASH1		Zinc-finger inhibitor of HO transcription which is asymmetrically localized to the daughter cell nucleus		Mutant ash1 daughters can transcribe HO and switch mating type	YKL185W	S0001668
ASI1		Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p. Asi1p and Asi3p have conserved ubiquitin ligase-like RING domains at their C-termini			YMR119W	S0004725
ASI2		Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p.			YNL159C	S0005103
ASI3		Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p. Asi1p and Asi3p have conserved ubiquitin ligase-like RING domains at their C-termini			YNL008C	S0004953
ASK1		<b>A</b>ssociated with <b>S</b>pindles and <b>K</b>inetochores		Null mutant is inviable	YKL052C	S0001535
ASK10		transcriptional activator of the SKN7 mediated 'two-component' regulatory system	transcriptional activator of the SKN7 mediated 'two-component' regulatory system		YGR097W	S0003329
ASM4	NUP59	Suppressor of thermosensitive mutations in the DNA polymerase delta gene	nuclear pore complex subunit	Null mutant is viable in some strain backgrounds (including CEN.PK2); however, in the FY1679 genetic background, it is inviable.	YDL088C	S0002246
ASN1		Asn1p and Asn2p are isozymes	asparagine synthetase	Null mutant is viable; L-asparagine auxotrophy occurs upon mutation of both ASN1 and ASN2	YPR145W	S0006349
ASN2		Asn1p and Asn2p are isozymes	asparagine synthetase	Null mutant is viable; L-asparagine auxotrophy occurs upon mutation of both ASN1 and ASN2	YGR124W	S0003356
ASP1		Asparaginase I, intracellular isozyme	asparaginase I|intracellular isozyme	Aspartic acid requiring	YDR321W	S0002729
ASP3-1	ASP3	nitrogen catabolite-regulated cell-wall L-asparaginase II	nitrogen catabolite-regulated cell-wall L-asparaginase II		YLR155C	S0004145
